diary_name,strain,strains_company,light_watt,nutrients,watering,soil,germination,grow_techniques,grow_room_size,weeks_to_harvest,num_of_plants,bud_dry_weight,bud_wet_weight
Sherbet Queen Auto RQS :crown:,Sherbet Queen Automatic,Royal Queen Seeds,200 watt,"RQS Organic Nutrients,",Manual,"Soil Grow Medium,",Peat Pellet,"FIMing,LST,Defoliation,",6.89,11,1.0,2.58,12.7
Cream Caramel FV and Mars Hydro,Cream Caramel Fast Version®,Sweet Seeds,150 watt,"BioBizz,",Manual,"Soil Grow Medium,",Peat Pellet,"LST,",6.89,12,1.0,1.59,6.11
Green Poison FV+ Mars Hydro TS1000,Green Poison Fast Version®,Sweet Seeds,150 watt,"BioBizz,",Manual,"Soil Grow Medium,",Peat Pellet,"LST,",6.89,11,1.0,1.83,6.84
Tropicanna Poison+Mars Hydro,Tropicanna Poison F1 Fast Version,Sweet Seeds,150 watt,"BioBizz,",Manual,"Soil Grow Medium,",Peat Pellet,"LST,",6.89,10,1.0,1.84,6.91
First long shot,Gorilla Girl®,Sweet Seeds,270 watt,"BioBizz,Plant Success (Plant Revolution),Guanokalong,",Manual,"Soil Grow Medium,Perlite Grow Medium,",,"Defoliation,Topping,LST,",3.77,16,2.0,7.94,
Auto Blackberry Moonrock!,Auto Blackberry Moonrocks,Anesia Seeds,2545 watt,"Humboldt Nutrients,",Manual,"Coco Coir Grow Medium,",Paper Towel,"LST,Defoliation,",13.12,10,1.0,1.8,9.15
Blueberry Headband Auto,Blueberry Headband Auto,Emerald Triangle Seeds,150 watt,"Real Growers,",Hydroponics,"Soil Grow Medium,",,"Defoliation,",7.38,11,1.0,2.68,
Sweet Zombie,Sweet Zombie,Expert Seeds,600 watt,"Advanced Nutrients,",Manual,"Soil Grow Medium,",Glass Of Water,,10.76,17,15.0,,
Lemon Pie,Lemon Pie Auto,Fast Buds,315 watt,"Advanced Nutrients,",Manual,"Soil Grow Medium,",Glass Of Water,,,10,3.0,,
Orange sherbet,Orange Sherbet Auto,Fast Buds,315 watt,"Advanced Nutrients,",Manual,"Soil Grow Medium,",Glass Of Water,,10.76,10,3.0,,
Kush Mintz Platinum Garlic Kosher Kush,Kush Mintz,Barney'S Farm,310 watt,,Manual,"Coco Coir Grow Medium,Perlite Grow Medium,",Glass Of Water,"LST,Defoliation,",10.76,13,2.0,7.58,7.58
