diary_name,strain,strains_company,light_watt,nutrients,indoor,watering,soil,germination,grow_techniques,grow_room_size,weeks_to_harvest,num_of_plants,bud_dry_weight,bud_wet_weight
Gorilla Sherbet FV,Gorilla Sherbet F1 Fast Version,Sweet Seeds,100 watt,"RQS Organic Nutrients,",True,Manual,"Coco Coir Grow Medium,Vermicompost Grow Medium,Easy Boost 50g Grow Medium,",,"Lollipopping,Defoliation,LST,HST,",,19,1,52,
AK Divine,Auto AK-47 XL,Divine Seeds,,"BioBizz,Advanced Nutrients,",True,Manual,,,"Lollipop,",,6,,,
Cream Caramel,Cream Caramel®,Sweet Seeds,100 watt,"RQS Organic Nutrients,",True,Manual,"Coco Coir Grow Medium,Vermicompost Grow Medium,Easy Boost 50g Grow Medium,",,"Lollipopping,Defoliation,HST,LST,",,19,1,55,
Iced Wildberry Robin Hood Seeds,Iced Wildberry,Robin Hood Seeds,600 watt,"Gaia Green,Down To Earth,",True,Manual,,,"Topping,Main-Lining,Defoliation,",,16,1,,453.59
ILGM Purple Punch Autos,Purple Punch,ILGM,300 watt,"Fox Farm,",True,Manual,"AC Infinity Cloudlab 733 Advance Grow Tent 3x3 (36"" X 36"" X 72""),soil Grow Medium,Perlite Grow Medium,",Glass Of Water,"LST,",2.74,11,2,170,
Nanaz,Nanaz,Robin Hood Seeds,,"Gaia Green,Oregon’s Only (Nectar for the Gods),",True,Manual,"Soil Grow Medium,Perlite Grow Medium,Coco Coir Grow Medium,Worm castings Grow Medium,",,,,25,3,,170.1
First grow,Lemon Pie Auto,Fast Buds,200 watt,,True,Manual,"Soil Grow Medium,",Glass Of Water,"Leaf tucking,LST,Defoliation,",,6,,47,
Blueberry/whitewidow/S.A.D. Autos,Dinafem - Auto blueberry,Custom Breeder & Strain,150 watt,"BioBizz,",True,,"Soil Grow Medium,",,,,9,,,
White Widow & Durban Poison,Durban Poison,Dutch Passion,200 watt,"Fox Farm,General Hydroponics (GHE),",True,Manual,"AC Infinity Cloudlab 642 Advance Grow Tent 4x2 (48"" X 24"" X 72""),Fox Farm Ocean Forrest Grow Medium,Fox Farm Happy Frog Grow Medium,Perlite Grow Medium,",Glass Of Water,"Defoliation,ScrOG,LST,",0.23,12,3,52,114
Bag seed from amazing weeds.,9 unknown strains,Custom Breeder & Strain,"LED / 150W Mars TS 1000,","BioBizz,Canna,Advanced Nutrients,",True,Manual,"Soil Grow Medium,",,"ScrOG,Topping,FIMing,Defoliation,",1.44,29,9,245,
Mokum's Tulip Dutch Passión,Mokum’s Tulip,Dutch Passion,480 watt,"PLAGRON.,",True,Manual,"Soil Grow Medium,",Directly In Substrate,,1,14,1,,63
Durban Poison,Durban Poison,Nirvana,630 watt,"Athena,",True,Hydroponics,"Gorilla Grow Tent GGT 4x4,Mineral Wool Grow Medium,Coco Coir Grow Medium,",,"ScrOG,",4.88,8,2,,5448
Royal Queen Gorilla Auto,Royal Gorilla Automatic,Royal Queen Seeds,200 watt,"General Hydroponics (GHE),Botanicare,Blue Planet Nutrients,Fish Head Farms,Real Growers,",True,Manual,"CoolGrows GT 48x24x60,Coco Coir Grow Medium,Perlite Grow Medium,",,,0.61,15,1,95,300
Another Blue Dream,Blue Dream Auto,Fast Buds,200 watt,"General Hydroponics (GHE),Botanicare,Blue Planet Nutrients,Fish Head Farms,Real Growers,",True,Manual,"CoolGrows GT 48x24x60,Coco Coir Grow Medium,Perlite Grow Medium,",,,0.61,15,1,22,85
S.A. Kwazulu x (Hindu kush x Hulkking2),Muscat bleu,Custom Breeder & Strain,"LED / 100W (×2) Mars TS 600,","FloraFlex,",True,Manual,"Coco Coir Grow Medium,",Paper Towel,"Topping,",,FLOWERING,,,
Acapulco Gold 2x3 grow,Quebec Cannabis Seeds QCS - Acapulco Gold,Custom Breeder & Strain,150 watt,"Green Planet Nutrients,",True,Hydroponics,"Perlite Grow Medium,Coco Coir Grow Medium,",,"FIMing,Topping,LST,ScrOG,Defoliation,",1.83,13,1,140,355
Apple Candie,Apple Candie,Elev8 Seeds,720 watt,"Dr. Earth,Advanced Nutrients,",True,Manual,"Gorilla Grow Tent GGT 5x5,Soil Grow Medium,",,"HST,Defoliation,LST,Topping,ScrOG,",,17,4,,
DWC Blueberry Mainline Scrog,Blueberry,Seedsman,240 watt,"General Hydroponics (GHE),Plant Success (Plant Revolution),Fox Farm,Botanicare,",True,Hydroponics,"Expanded Clay Grow Medium,",,"ScrOG,LST,Topping,Defoliation,Main-Lining,",,14,1,,
Strawberry Pie,Strawberry Pie Auto,Fast Buds,680 watt,"Advanced Nutrients,",True,Manual,"Soil Grow Medium,",Glass Of Water,"LST,Defoliation,",0.6,9,1,,820
Strawberry Pie,Strawberry Pie Auto,Fast Buds,680 watt,"Advanced Nutrients,",True,Manual,"Soil Grow Medium,",Glass Of Water,"LST,Defoliation,",0.6,9,1,,980
